Trial Name ,Replicate #,Day,Arena,"Trial length (hours, pasted values)",Mouse ID,Mouse treatment,Mouse sex,BLT added to sock,Initial BLT (assumed on mouse; post sock infestation),Final BLT (# of ticks found on mouse),BLT % tick attachment,BLT_EAR,BLT_NOSE,BLT_EYES,BLT_CHIN,BLT_NECK,BLT_BACK,BLT_FACE,BLT_ARMS,BLT_TAIL,GCT added to sock,Initial GCT (assumed on mouse; post sock infestation),Final GCT (# of ticks found on mouse),GCT % tick attachment,GCT_NOSE,GCT_EARS,GCT_EYES,GCT_FACE,GCT_TOES,GCT_NECK,GCT_BACK,Distance moved (cm),Groom Freq (# of times grooming),Groom Cumulative Duration (sec),Proportion of Time Grooming,Groom Cumulative Duration (hours),Groom freq per hour (# of separate grooming bouts per hour),Percent time grooming,NOTES,BLT TICK SOURCE,GCT TICK SOURCE
3,1,2,3,23.25,DB231,BLT,M,30,6,0,0.00%,,,,,,,,,,0.00,,,,,,,,,,,24836.3,450,8749.42,0.104533094,2.43,19.35,12.56,,OK,OK
3,1,2,4,23.25,BD251,BLTxGCT,M,15,2,0,0.00%,,,,,,,,,,15,11,4,36.36%,,3,,,1,,,34906.1,506,9939.77,0.118754719,2.76,21.76,12.69,,OK,OK
4,1,3,1,23.75,DB233,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,126581,425,7394.33,0.086483392,2.05,17.89,11.48,,OK,OK
4,1,3,2,23.75,DB232,GCT,M,0,,,,,,,,,,,,,30,12,3,,,3,,,,,,41279,896,19886.1,0.232585965,5.52,37.73,14.64,,OK,OK
4,1,3,3,23.75,DB231,BLT,M,30,6,0,0.00%,,,,,,,,,,0.00,,,,,,,,,,,26464.9,519,11010,0.12877193,3.06,21.85,14.00,,OK,OK
4,1,3,4,23.75,BD251,BLTxGCT,M,15,2,0,0.00%,,,,,,,,,,15,11,4,36.36%,,3,,,0,,,23721.1,418,8394.39,0.09818,2.33,17.60,13.25,,OK,OK
5,2,0,1,20.75,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,46046.7,220,3523.32,0.047166265,0.98,10.60,9.23,Video file corrupted,OK,OK
5,2,0,2,20.75,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,41352.6,400,6033.13,0.080764793,1.68,19.28,8.69,Video file corrupted,OK,OK
5,2,0,3,20.75,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,17517.5,350,5759.33,0.077099465,1.60,16.87,9.48,Video file corrupted,OK,OK
5,2,0,4,20.75,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,23085,292,5169.5,0.069203481,1.44,14.07,10.20,Video file corrupted,OK,OK
6,2,1,1,21.00,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,35444.2,476,7661.93,0.10134828,2.13,22.67,9.39,,OK,OK
6,2,1,2,21.00,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,28985,388,6975.34,0.092266402,1.94,18.48,10.49,,OK,OK
6,2,1,3,21.00,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,16439.1,332,6932.77,0.091703307,1.93,15.81,12.18,,OK,OK
6,2,1,4,21.00,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,21882.4,542,9413.68,0.124519577,2.61,25.81,10.13,,OK,OK
7,2,2,1,24.00,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,42818.4,528,9391.36,0.108696296,2.61,22.00,11.86,,OK,OK
7,2,2,2,24.00,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,36628,449,6158.32,0.071276852,1.71,18.71,9.14,,OK,OK
7,2,2,3,24.00,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,30863.2,551,8330.1,0.096413194,2.31,22.96,10.08,,OK,OK
7,2,2,4,24.00,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,31754.1,595,9281.92,0.10742963,2.58,24.79,10.40,,OK,OK
8,2,3,1,23.75,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,61135.4,439,7769,0.090865497,2.16,18.48,11.68,,OK,OK
8,2,3,2,23.75,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,31747.9,496,8081.68,0.094522573,2.24,20.88,10.75,,OK,OK
8,2,3,3,23.75,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,26167.7,526,9116.75,0.106628655,2.53,22.15,11.43,,OK,OK
8,2,3,4,23.75,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,25548,449,9287.79,0.108629123,2.58,18.91,13.65,,OK,OK
9,2,4,1,25.00,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,44036.3,406,7833.17,0.087035222,2.18,16.24,13.40,,OK,OK
9,2,4,2,25.00,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,25829.9,263,3978.31,0.044203444,1.11,10.52,10.50,,OK,OK
9,2,4,3,25.00,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,17622.9,365,5297.6,0.058862222,1.47,14.60,10.08,,OK,OK
9,2,4,4,25.00,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,26974.4,486,9870.54,0.109672667,2.74,19.44,14.10,,OK,OK
10,2,5,1,23.75,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,39540.9,346,6216.05,0.072702339,1.73,14.57,11.85,Video file corrupted,OK,OK
10,2,5,2,23.75,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,21405.7,174,3238.51,0.03787731,0.90,7.33,12.28,Video file corrupted,OK,OK
10,2,5,3,23.75,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,16101.2,424,6568.37,0.076823041,1.82,17.85,10.22,Video file corrupted,OK,OK
10,2,5,4,23.75,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,16868.3,277,4598.63,0.053785146,1.28,11.66,10.95,Video file corrupted,OK,OK
11,2,6,1,24.25,R288,BLTxGCT,F,15,6,0,0.00%,,,,,,,,,,15,11,2,,,1,,1,,,,40655.1,462,8916.95,0.102141466,2.48,19.05,13.00,,OK,OK
11,2,6,2,24.25,R290,CONTROL,F,0,,,,,,,,,,,,,0,,,,,,,,,,,21545.4,234,4868.47,0.055767125,1.35,9.65,14.01,,OK,OK
11,2,6,3,24.25,R291,BLT,F,30,0,0,0.00%,,,,,,,,,,0,,,,,,,,,,,22380.1,457,7330.63,0.083970561,2.04,18.85,10.81,,OK,OK
11,2,6,4,24.25,R289,GCT,F,0,,,,,,,,,,,,,30,20,0,,,,,,,,,20527.4,229,2725.89,0.031224399,0.76,9.44,8.02,,OK,OK
1,3,0,1,19.25,DB307,GCT,M,0,,,,,,,,,,,,,30,10,2,20.00%,,,,,,,,240510,396,7140.64,0.103039538,1.98,20.57,10.30,,OK,OK
1,3,0,2,19.25,DB308,BLTxGCT,M,15,0,0,0.00%,,,,,,,,,,15,6,0,0.00%,,,,,,,,96743.6,459,6537.3,0.094333333,1.82,23.84,9.43,,OK,OK
1,3,0,3,19.25,DB309,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,104066,312,4861.36,0.070149495,1.35,16.21,7.01,,OK,OK
1,3,0,4,19.25,DB310,BLT,M,30,8,1,12.50%,,,,,,,,,,0,,,,,,,,,,,121224,865,15905.6,0.229518038,4.42,44.94,22.95,,OK,OK
2,3,1,1,25.50,DB307,GCT,M,0,,,,,,,,,,,,,30,10,2,20.00%,,,,,,,,33578.8,224,3960.33,0.04314085,1.10,8.78,12.52,,OK,OK
2,3,1,2,25.50,DB308,BLTxGCT,M,15,0,0,0.00%,T,,,,,,,,,15,6,0,0.00%,,,,,,,,37278.7,343,6782.72,0.073885839,1.88,13.45,14.01,,OK,OK
2,3,1,3,25.50,DB309,CONTROL,M,0,,,,,,,,,,,,,0,,,,,,,,,,,25939.9,161,3597.33,0.039186601,1.00,6.31,15.83,,OK,OK
2,3,1,4,25.50,DB310,BLT,M,30,8,1,12.50%,,,,,,,,,,0,,,,,,,,,,,33740.4,277,5684.55,0.061923203,1.58,10.86,14.54,,OK,OK
3,3,2,1,22.00,DB307,GCT,M,0,,,,,,,,,,,,,30,10,2,20.00%,,1,1,,,,,46797.1,,,,,,,,OK,OK
3,3,2,2,22.00,DB308,BLTxGCT,M,15,0,0,0.00%,,,,,,,,,,15,6,0,0.00%,,,,,,,,59851.4,,,,,,,,OK,OK
